Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
1,2,B,Event,YES,NO,0:36,0:37
1,2,B,Event,YES,NO,0:38,0:40
1,2,M,Event,YES,NO,0:41,0:43
1,2,M,Event,YES,NO,0:44,0:47
1,2,B,Event,YES,NO,0:47,0:49
1,2,M,Event,YES,NO,0:54,1:00
1,2,B,Event,YES,NO,1:00,1:01
1,2,L,Behavior,YES,NO,1:09,1:32
1,2,U,Music,YES,YES,11:08,12:00
1,2,M,Event,YES,YES,11:37,11:40
1,2,B,Event,YES,YES,12:02,12:03
1,2,U,Music,YES,YES,12:03,12:45
1,2,B,Event,YES,YES,12:12,12:16
1,2,B,Event,YES,YES,12:18,12:22
1,2,B,Event,YES,YES,12:30,12:32
1,2,H,Event,YES,YES,12:31,12:33
1,2,B,Event,YES,NO,12:45,12:46
1,2,U,Music,YES,YES,12:48,12:59
1,2,V,Event,YES,YES,12:50,12:51
1,2,H,Event,YES,YES,12:57,12:58
1,2,H,Event,YES,YES,12:59,13:00
1,2,U,Music,YES,YES,13:01,13:02
1,2,B,Event,YES,NO,13:09,13:29
1,2,B,Event,YES,NO,13:36,13:44
1,2,M,Event,YES,NO,13:46,13:48
1,2,B,Event,YES,NO,13:49,13:52
1,2,L,Behavior,YES,NO,13:52,13:53
1,2,L,Behavior,YES,NO,13:54,13:55
1,2,B,Event,YES,NO,13:56,14:00
1,2,B,Event,YES,NO,14:01,14:06
1,2,B,Event,YES,NO,14:10,14:12
1,2,B,Event,YES,NO,14:14,14:15
1,2,B,Event,YES,NO,14:21,14:25
1,2,B,Event,YES,NO,14:34,14:34
1,2,M,Event,YES,NO,14:35,14:38
1,2,B,Event,YES,NO,14:39,14:41
1,2,B,Event,YES,NO,14:43,14:47
1,2,B,Event,YES,NO,14:48,14:51
1,2,B,Event,YES,NO,14:52,15:02
1,2,M,Event,YES,NO,15:06,15:09
1,2,U,Music,YES,YES,15:44,16:00
1,2,P,Behavior,YES,YES,15:49,15:50
1,2,L,Behavior,YES,YES,15:51,16:30
1,2,S,Behavior,YES,NO,16:36,16:43
1,2,M,Event,YES,NO,17:04,17:05
1,2,M,Event,YES,NO,17:06,17:09
1,2,B,Event,YES,NO,17:08,17:09
1,2,V,Event,YES,NO,17:10,17:10
1,2,U,Music,YES,YES,17:11,19:23
1,2,B,Event,YES,YES,17:43,17:47
1,2,H,Event,YES,YES,17:53,17:56
1,2,H,Event,YES,YES,17:57,17:59
1,2,H,Event,YES,YES,18:00,18:02
1,2,H,Event,YES,YES,18:03,18:06
1,2,H,Event,YES,YES,18:09,18:10
1,2,H,Event,YES,YES,18:13,18:14
1,2,H,Event,YES,YES,18:17,18:19
1,2,B,Event,YES,YES,18:22,18:24
1,2,B,Event,YES,YES,18:33,18:34
1,2,B,Event,YES,YES,18:36,18:38
1,2,H,Event,YES,YES,18:39,18:39
1,2,V,Event,YES,YES,18:39,18:40
1,2,L,Behavior,YES,YES,18:45,18:56
1,2,H,Event,YES,YES,18:55,18:57
1,2,H,Event,YES,YES,18:58,19:01
1,2,H,Event,YES,YES,19:05,19:07
1,2,H,Event,YES,YES,19:10,19:10
1,2,L,Behavior,YES,NO,19:24,19:26
1,2,N,Event,YES,NO,19:26,19:27
1,2,L,Behavior,YES,NO,19:39,20:01
1,2,V,Event,YES,NO,20:01,20:01
1,2,P,Behavior,YES,NO,20:22,20:23
1,2,S,Behavior,YES,NO,20:28,20:30
1,2,P,Behavior,YES,NO,20:35,20:40
1,2,P,Behavior,YES,NO,20:47,20:47
