Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
2,1.4,M,EVENT,NO,NO,0:08,0:21
2,1.4,L,BEHAVIOR,NO,NO,0:29,0:32
2,1.4,FP,BEHAVIOR,NO,NO,0:34,0:35
2,1.4,L,BEHAVIOR,NO,NO,0:37,0:39
2,1.4,L,BEHAVIOR,NO,NO,0:43,0:54
2,1.4,L,BEHAVIOR,NO,NO,1:05,1:14
2,1.4,P,BEHAVIOR,NO,NO,1:34,1:36
2,1.4,M,EVENT,NO,NO,1:38,1:41
2,1.4,NB,BEHAVIOR,NO,YES,1:41,1:54
2,1.4,NB,BEHAVIOR,NO,YES,2:05,2:22
2,1.4,L,BEHAVIOR,NO,NO,2:37,2:55
2,1.4,NB,BEHAVIOR,NO,YES,2:56,3:08
2,1.4,L,BEHAVIOR,NO,NO,3:27,3:48
2,1.4,M,EVENT,NO,NO,3:48,3:54
2,1.4,NB,BEHAVIOR,NO,NO,3:58,3:60
2,1.4,FP,BEHAVIOR,NO,NO,4:05,4:06
2,1.4,NB,BEHAVIOR,NO,NO,4:22,4:24
2,1.4,M,EVENT,NO,NO,4:31,4:32
2,1.4,L,BEHAVIOR,NO,NO,4:33,4:38
2,1.4,M,EVENT,NO,NO,4:38,4:42
2,1.4,P,BEHAVIOR,NO,NO,4:58,5:01
2,1.4,L,BEHAVIOR,NO,NO,5:22,5:23
2,1.4,NB,BEHAVIOR,NO,NO,5:24,5:30
2,1.4,M,EVENT,NO,NO,6:00,6:02
2,1.4,L,BEHAVIOR,NO,NO,6:03,6:21
2,1.4,M,EVENT,NO,NO,6:22,6:25
2,1.4,L,BEHAVIOR,NO,NO,6:25,6:45
