,Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End
0,2,2,L,BEHAVIOR,YES,NO,0:06,0:24
1,2,2,P,BEHAVIOR,YES,NO,0:26,0:27
2,2,2,L,BEHAVIOR,YES,NO,0:31,0:34
3,2,2,V,EVENT,YES,NO,0:48,0:49
4,2,2,P,BEHAVIOR,YES,NO,1:05,1:07
5,2,2,V,EVENT,YES,NO,2:09,2:10
6,2,2,V,EVENT,YES,NO,3:08,3:09
7,2,2,P,BEHAVIOR,YES,NO,5:16,5:30
8,2,2,P,BEHAVIOR,YES,NO,5:31,5:42
9,2,2,M,EVENT,YES,NO,5:44,5:54
10,2,2,NB,BEHAVIOR,YES,NO,5:54,5:58
11,2,2,NB,BEHAVIOR,YES,NO,6:01,6:07
12,2,2,L,BEHAVIOR,YES,NO,6:08,6:10
13,2,2,NB,BEHAVIOR,YES,NO,6:11,6:12
14,2,2,NB,BEHAVIOR,YES,NO,6:13,6:16
15,2,2,NB,BEHAVIOR,YES,NO,6:18,6:23
16,2,2,L,BEHAVIOR,YES,NO,6:25,6:28
17,2,2,NB,BEHAVIOR,YES,NO,6:28,6:34
18,2,2,NB,BEHAVIOR,YES,NO,6:36,6:45
19,2,2,NB,BEHAVIOR,YES,NO,6:47,6:55
20,2,2,P,BEHAVIOR,YES,NO,6:58,7:13
21,2,2,P,BEHAVIOR,YES,NO,7:13,7:21
22,2,2,NB,BEHAVIOR,YES,NO,7:24,7:27
23,2,2,P,BEHAVIOR,YES,NO,7:28,7:41
24,2,2,NB,BEHAVIOR,YES,NO,7:42,7:46
25,2,2,P,BEHAVIOR,YES,NO,7:47,7:55
26,2,2,NB,BEHAVIOR,YES,NO,7:55,8:01
27,2,2,E,BEHAVIOR,YES,NO,8:02,8:22
28,2,2,NB,BEHAVIOR,YES,NO,8:29,8:52
29,2,2,NB,BEHAVIOR,YES,NO,8:52,9:10
30,2,2,M,EVENT,YES,NO,9:12,9:21
31,2,2,NB,BEHAVIOR,YES,NO,9:24,9:25
32,2,2,L,BEHAVIOR,YES,NO,9:27,9:35
33,2,2,L,BEHAVIOR,YES,NO,9:40,9:43
34,2,2,B,EVENT,YES,NO,9:44,9:45
35,2,2,B,EVENT,YES,YES,9:46,9:49
36,2,2,U,MUSIC,YES,YES,9:46,10:31
37,2,2,B,EVENT,YES,YES,9:57,10:00
38,2,2,H,EVENT,YES,YES,10:01,10:03
39,2,2,H,EVENT,YES,YES,10:06,10:07
40,2,2,H,EVENT,YES,YES,10:08,10:10
41,2,2,H,EVENT,YES,YES,10:12,10:13
42,2,2,M,EVENT,YES,YES,10:19,10:20
43,2,2,L,BEHAVIOR,YES,YES,10:21,10:34
44,2,2,L,BEHAVIOR,YES,NO,10:35,11:03
45,2,2,V,EVENT,YES,NO,11:02,11:03
46,2,2,L,BEHAVIOR,YES,NO,11:05,11:06
47,2,2,M,EVENT,YES,NO,11:07,11:11
48,2,2,L,BEHAVIOR,YES,NO,11:12,12:31
49,2,2,V,EVENT,YES,NO,12:31,12:32
50,2,2,FP,BEHAVIOR,YES,NO,12:36,12:37
51,2,2,M,EVENT,YES,NO,13:55,14:10
52,2,2,M,EVENT,YES,NO,14:12,14:16
53,2,2,L,BEHAVIOR,YES,NO,14:16,14:27
54,2,2,M,EVENT,YES,NO,14:28,14:32
55,2,2,E,BEHAVIOR,YES,NO,14:32,14:52
56,2,2,M,EVENT,YES,NO,14:52,14:54
57,2,2,L,BEHAVIOR,YES,NO,14:54,15:53
58,2,2,E,BEHAVIOR,YES,NO,15:54,16:22
59,2,2,M,EVENT,YES,NO,16:26,16:30
