,Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Start,End
0,4,3,V,EVENT,YES,NO,0:09,0:09,00:00:09,00:00:09
1,4,3,L,BEHAVIOR,YES,NO,0:23,1:39,00:00:23,00:01:39
2,4,3,U,MUSIC,YES,NO,1:03,1:23,00:01:03,00:01:23
3,4,3,M,EVENT,YES,NO,1:40,1:52,00:01:40,00:01:52
4,4,3,P,BEHAVIOR,YES,NO,2:47,2:50,00:02:47,00:02:50
5,4,3,P,BEHAVIOR,YES,NO,2:52,3:55,00:02:52,00:03:55
6,4,3,M,EVENT,YES,NO,5:04,5:07,00:05:04,00:05:07
7,4,3,L,BEHAVIOR,YES,NO,5:08,5:12,00:05:08,00:05:12
8,4,3,M,EVENT,YES,NO,5:12,5:15,00:05:12,00:05:15
9,4,3,U,MUSIC,YES,NO,5:18,5:21,00:05:18,00:05:21
10,4,3,P,BEHAVIOR,YES,NO,6:24,6:39,00:06:24,00:06:39
11,4,3,P,BEHAVIOR,YES,NO,6:41,7:05,00:06:41,00:07:05
12,4,3,P,BEHAVIOR,YES,NO,7:16,7:33,00:07:16,00:07:33
13,4,3,L,BEHAVIOR,YES,NO,7:42,7:48,00:07:42,00:07:48
14,4,3,B,EVENT,YES,NO,8:28,8:28,00:08:28,00:08:28
15,4,3,V,EVENT,YES,NO,8:28,8:29,00:08:28,00:08:29
16,4,3,U,MUSIC,YES,NO,8:30,8:50,00:08:30,00:08:50
17,4,3,M,EVENT,YES,NO,8:37,8:44,00:08:37,00:08:44
18,4,3,L,BEHAVIOR,YES,NO,8:44,8:52,00:08:44,00:08:52
19,4,3,P,BEHAVIOR,YES,NO,8:53,9:45,00:08:53,00:09:45
20,4,3,M,EVENT,YES,NO,11:05,11:19,00:11:05,00:11:19
21,4,3,U,MUSIC,YES,NO,11:21,12:09,00:11:21,00:12:09
22,4,3,B,EVENT,YES,NO,11:22,11:24,00:11:22,00:11:24
23,4,3,B,EVENT,YES,NO,11:28,11:29,00:11:28,00:11:29
24,4,3,M,EVENT,YES,NO,11:30,11:39,00:11:30,00:11:39
25,4,3,M,EVENT,YES,NO,11:44,11:48,00:11:44,00:11:48
26,4,3,B,EVENT,YES,NO,11:48,11:51,00:11:48,00:11:51
27,4,3,M,EVENT,YES,NO,11:54,12:14,00:11:54,00:12:14
28,4,3,B,EVENT,YES,NO,12:13,12:14,00:12:13,00:12:14
29,4,3,U,MUSIC,YES,NO,12:14,12:39,00:12:14,00:12:39
30,4,3,M,EVENT,YES,NO,12:16,12:27,00:12:16,00:12:27
31,4,3,M,EVENT,YES,NO,12:29,12:40,00:12:29,00:12:40
32,4,3,FP,BEHAVIOR,YES,NO,12:35,12:38,00:12:35,00:12:38
33,4,3,M,EVENT,YES,NO,12:41,12:44,00:12:41,00:12:44
34,4,3,M,EVENT,YES,NO,12:48,12:55,00:12:48,00:12:55
35,4,3,P,BEHAVIOR,YES,NO,12:57,13:07,00:12:57,00:13:07
36,4,3,S,BEHAVIOR,YES,NO,13:08,13:11,00:13:08,00:13:11
37,4,3,M,EVENT,YES,NO,13:12,13:17,00:13:12,00:13:17
38,4,3,FP,BEHAVIOR,YES,NO,13:17,13:19,00:13:17,00:13:19
39,4,3,M,EVENT,YES,NO,13:23,13:46,00:13:23,00:13:46
40,4,3,M,EVENT,YES,NO,13:48,14:13,00:13:48,00:14:13
41,4,3,M,EVENT,YES,NO,14:15,14:44,00:14:15,00:14:44
