,Day,Session,Date/Time Start,Duration of Video,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Unnamed: 12,Start,End
0,1,2,,,B,Event,YES,NO,0:36,0:37,,,,00:00:36,00:00:37
1,1,2,,,B,Event,YES,NO,0:38,0:40,,,,00:00:38,00:00:40
2,1,2,,,M,Event,YES,NO,0:41,0:43,,,,00:00:41,00:00:43
3,1,2,,,M,Event,YES,NO,0:44,0:47,,,,00:00:44,00:00:47
4,1,2,,,B,Event,YES,NO,0:47,0:49,,,,00:00:47,00:00:49
5,1,2,,,M,Event,YES,NO,0:54,1:00,,,,00:00:54,00:01:00
6,1,2,,,B,Event,YES,NO,1:00,1:01,,,,00:01:00,00:01:01
7,1,2,,,L,Behavior,YES,NO,1:09,1:32,,,,00:01:09,00:01:32
8,1,2,,,U,Music,YES,YES,11:08,12:00,,,,00:11:08,00:12:00
9,1,2,,,M,Event,YES,YES,11:37,11:40,,,,00:11:37,00:11:40
10,1,2,,,B,Event,YES,YES,12:02,12:03,,,,00:12:02,00:12:03
11,1,2,,,U,Music,YES,YES,12:03,12:45,,,,00:12:03,00:12:45
12,1,2,,,B,Event,YES,YES,12:12,12:16,,,,00:12:12,00:12:16
13,1,2,,,B,Event,YES,YES,12:18,12:22,,,,00:12:18,00:12:22
14,1,2,,,B,Event,YES,YES,12:30,12:32,,,,00:12:30,00:12:32
15,1,2,,,H,Event,YES,YES,12:31,12:33,,,,00:12:31,00:12:33
16,1,2,,,B,Event,YES,NO,12:45,12:46,,,,00:12:45,00:12:46
17,1,2,,,U,Music,YES,YES,12:48,12:59,,,,00:12:48,00:12:59
18,1,2,,,V,Event,YES,YES,12:50,12:51,,,,00:12:50,00:12:51
19,1,2,,,H,Event,YES,YES,12:57,12:58,,,,00:12:57,00:12:58
20,1,2,,,H,Event,YES,YES,12:59,13:00,,,,00:12:59,00:13:00
21,1,2,,,U,Music,YES,YES,13:01,13:02,,,,00:13:01,00:13:02
22,1,2,,,B,Event,YES,NO,13:09,13:29,,,,00:13:09,00:13:29
23,1,2,,,B,Event,YES,NO,13:36,13:44,,,,00:13:36,00:13:44
24,1,2,,,M,Event,YES,NO,13:46,13:48,,,,00:13:46,00:13:48
25,1,2,,,B,Event,YES,NO,13:49,13:52,,,,00:13:49,00:13:52
26,1,2,,,L,Behavior,YES,NO,13:52,13:53,,,,00:13:52,00:13:53
27,1,2,,,L,Behavior,YES,NO,13:54,13:55,,,,00:13:54,00:13:55
28,1,2,,,B,Event,YES,NO,13:56,14:00,,,,00:13:56,00:14:00
29,1,2,,,B,Event,YES,NO,14:01,14:06,,,,00:14:01,00:14:06
30,1,2,,,B,Event,YES,NO,14:10,14:12,,,,00:14:10,00:14:12
31,1,2,,,B,Event,YES,NO,14:14,14:15,,,,00:14:14,00:14:15
32,1,2,,,B,Event,YES,NO,14:21,14:25,,,,00:14:21,00:14:25
33,1,2,,,B,Event,YES,NO,14:34,14:34,,,,00:14:34,00:14:34
34,1,2,,,M,Event,YES,NO,14:35,14:38,,,,00:14:35,00:14:38
35,1,2,,,B,Event,YES,NO,14:39,14:41,,,,00:14:39,00:14:41
36,1,2,,,B,Event,YES,NO,14:43,14:47,,,,00:14:43,00:14:47
37,1,2,,,B,Event,YES,NO,14:48,14:51,,,,00:14:48,00:14:51
38,1,2,,,B,Event,YES,NO,14:52,15:02,,,,00:14:52,00:15:02
39,1,2,,,M,Event,YES,NO,15:06,15:09,,,,00:15:06,00:15:09
40,1,2,,,U,Music,YES,YES,15:44,16:00,,,,00:15:44,00:16:00
41,1,2,,,P,Behavior,YES,YES,15:49,15:50,,,,00:15:49,00:15:50
42,1,2,,,L,Behavior,YES,YES,15:51,16:30,,,,00:15:51,00:16:30
43,1,2,,,S,Behavior,YES,NO,16:36,16:43,,,,00:16:36,00:16:43
44,1,2,,,M,Event,YES,NO,17:04,17:05,,,,00:17:04,00:17:05
45,1,2,,,M,Event,YES,NO,17:06,17:09,,,,00:17:06,00:17:09
