Head Bobbing Classification,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Event,Day,Session,Visitors? ,How many times,how long (s),B_tempo (BPM),music,tempo/M_tempo,comments,,1,2.1,YES,4,2,127
1,0,1.1,NO,4,1,133,N/A,N/A,,,,,,7,4,120
2,0,1.1,NO,13,7,149,N/A,N/A,,,,,,,,
3,0,1.1,NO,8,4,141,N/A,N/A,,,,,,,,
4,0,1.1,NO,13,7,133,N/A,N/A,,,,,,,,
5,0,1.1,NO,6,4,107,N/A,N/A,,,,,,,,
6,0,1.1,NO,3,2,113,N/A,N/A,,,,,,,,
7,0,1.1,NO,7,4,137,N/A,N/A,,,,,,,,
8,0,1.1,NO,8,4,140,N/A,N/A,,,,,,,,
9,0,1.1,NO,15,7,140,N/A,N/A,,,,,,,,
10,0,1.1,NO,2,1,123,N/A,N/A,,,,,,,,
11,0,1.1,NO,4,3,162,N/A,N/A,,,,,,,,
12,0,1.1,NO,24,12,132,N/A,N/A,,,,,,,,
13,0,1.1,NO,14,7,131,N/A,N/A,,,,,,,,
14,0,1.1,NO,8,4,131,N/A,N/A,,,,,,,,
15,0,1.1,NO,9,4,128,N/A,N/A,,,,,,,,
16,0,1.1,NO,20,8,143,N/A,N/A,,,,,,,,
17,0,1.1,NO,3,1,127,N/A,N/A,,,,,,,,
18,0,1.1,NO,13,6,127,N/A,N/A,,,,,,,,
19,0,1.1,NO,4,2,149,N/A,N/A,,,,,,,,
20,0,1.1,NO,10,6,116,N/A,N/A,,,,,,,,
21,0,1.1,NO,18,9,125,N/A,N/A,,,,,,,,
22,0,1.1,NO,8,4,128,N/A,N/A,,,,,,,,
23,0,1.1,NO,8,4,113,N/A,N/A,,,,,,,,
24,0,1.1,NO,3,1,163,N/A,N/A,,,,,,,,
25,0,1.1,NO,4,2,140,N/A,N/A,,,,,,,,
26,0,1.1,NO,7,4,130,N/A,N/A,,,,,,,,
27,0,1.1,NO,2,1,159,N/A,N/A,,,,,,,,
28,0,1.1,NO,3,2,117,N/A,N/A,,,,,,,,
29,0,1.1,NO,8,4,128,N/A,N/A,,,,,,,,
30,0,1.1,NO,4,3,110,N/A,N/A,,,,,,,,
31,0,1.1,NO,20,8,141,N/A,N/A,,,,,,,,
32,0,1.1,NO,5,2,145,N/A,N/A,,,,,,,,
33,0,1.1,NO,9,5,124,N/A,N/A,,,,,,,,
34,0,1.1,NO,13,8,144,N/A,N/A,,,,,,,,
35,0,1.1,NO,6,3,159,N/A,N/A,,,,,,,,
36,0,1.1,NO,6,4,97,N/A,N/A,,,,,,,,
37,0,1.1,NO,6,3,100,N/A,N/A,,,,,,,,
38,0,1.1,NO,4,4,82,N/A,N/A,,,,,,,,
