Day,Session,Activity,Event or behavior?,Visitors?,Music?,Time Start,Time End,Start,End,StartSec,EndSec
0,1.1,M,EVENT,NO,NO,0:02,0:07,1:00:02,1:00:07,3602,3607
0,1.1,L,BEHAVIOR,NO,NO,0:10,0:13,1:00:10,1:00:13,3610,3613
0,1.1,B,EVENT,NO,NO,1:02,1:03,1:01:02,1:01:03,3662,3663
0,1.1,B,EVENT,NO,NO,1:05,1:12,1:01:05,1:01:12,3665,3672
0,1.1,B,EVENT,NO,NO,1:13,1:17,1:01:13,1:01:17,3673,3677
0,1.1,S,BEHAVIOR,NO,NO,1:19,1:20,1:01:19,1:01:20,3679,3680
0,1.1,B,EVENT,NO,NO,1:20,1:27,1:01:20,1:01:27,3680,3687
0,1.1,B,EVENT,NO,NO,1:32,1:36,1:01:32,1:01:36,3692,3696
0,1.1,H,EVENT,NO,NO,1:37,1:38,1:01:37,1:01:38,3697,3698
0,1.1,N,EVENT,NO,NO,1:39,1:41,1:01:39,1:01:41,3699,3701
0,1.1,B,EVENT,NO,NO,1:43,1:45,1:01:43,1:01:45,3703,3705
0,1.1,NB,BEHAVIOR,NO,NO,1:50,1:58,1:01:50,1:01:58,3710,3718
0,1.1,B,EVENT,NO,NO,1:58,2:02,1:01:58,1:02:02,3718,3722
0,1.1,H,EVENT,NO,NO,2:07,2:09,1:02:07,1:02:09,3727,3729
0,1.1,N,EVENT,NO,NO,2:12,2:15,1:02:12,1:02:15,3732,3735
0,1.1,H,EVENT,NO,NO,2:21,2:24,1:02:21,1:02:24,3741,3744
0,1.1,B,EVENT,NO,NO,2:26,2:30,1:02:26,1:02:30,3746,3750
0,1.1,B,EVENT,NO,NO,2:31,2:38,1:02:31,1:02:38,3751,3758
0,1.1,B,EVENT,NO,NO,2:41,2:42,1:02:41,1:02:42,3761,3762
0,1.1,H,EVENT,NO,NO,2:43,2:46,1:02:43,1:02:46,3763,3766
0,1.1,N,EVENT,NO,NO,2:48,2:50,1:02:48,1:02:50,3768,3770
0,1.1,M,EVENT,NO,NO,2:53,3:03,1:02:53,1:03:03,3773,3783
0,1.1,B,EVENT,NO,NO,3:03,3:06,1:03:03,1:03:06,3783,3786
0,1.1,L,BEHAVIOR,NO,NO,3:07,3:10,1:03:07,1:03:10,3787,3790
0,1.1,N,EVENT,NO,NO,3:10,3:11,1:03:10,1:03:11,3790,3791
0,1.1,B,EVENT,NO,NO,3:32,3:44,1:03:32,1:03:44,3812,3824
0,1.1,B,EVENT,NO,NO,3:51,3:58,1:03:51,1:03:58,3831,3838
0,1.1,N,EVENT,NO,NO,4:00,4:01,1:04:00,1:04:01,3840,3841
0,1.1,B,EVENT,NO,NO,4:04,4:08,1:04:04,1:04:08,3844,3848
0,1.1,B,EVENT,NO,NO,4:10,4:14,1:04:10,1:04:14,3850,3854
