Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,0:36,0:37,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,0:38,0:40,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,0:41,0:43,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,0:44,0:47,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,0:47,0:49,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,0:54,1:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,1:00,1:01,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,1:09,1:32,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,11:08,12:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,YES,11:37,11:40,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:02,12:03,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,12:03,12:45,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:12,12:16,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:18,12:22,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,YES,12:30,12:32,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,12:31,12:33,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,12:45,12:46,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,12:48,12:59,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,V,Event,,YES,YES,12:50,12:51,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,12:57,12:58,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,H,Event,,YES,YES,12:59,13:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,13:01,13:02,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:09,13:29,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:36,13:44,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,13:46,13:48,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:49,13:52,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,13:52,13:53,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,L,Behavior,,YES,NO,13:54,13:55,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,13:56,14:00,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:01,14:06,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:10,14:12,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:14,14:15,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:21,14:25,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:34,14:34,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,14:35,14:38,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:39,14:41,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:43,14:47,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:48,14:51,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,B,Event,,YES,NO,14:52,15:02,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,M,Event,,YES,NO,15:06,15:09,,
2,D1_S2_output.mp4,4/9/2019 11:58:00,0:20:47,U,Music,,YES,YES,15:44,16:00,,
