N_Day ,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,0:33,1:08,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,B,Event,,YES,YES,0:40,0:44,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,L,Behavior,,YES,YES,0:46,0:51,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,B,Event,,YES,YES,0:51,0:54,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,L,Behavior,,YES,YES,0:56,1:21,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,V,Event,,YES,NO,1:21,1:21,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,1:25,1:43,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,M,Event,,YES,NO,2:35,2:38,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,L,Behavior,,YES,NO,2:39,2:40,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,S,Behavior,,YES,NO,2:41,2:47,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,P,Behavior,,YES,NO,5:10,5:13,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,L,Behavior,,YES,NO,5:20,5:25,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,S,Behavior,,YES,NO,5:24,5:31,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,FP,Behavior,,YES,NO,6:19,6:26,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,M,Event,,YES,NO,6:28,6:31,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,L,Behavior,,YES,NO,6:33,6:58,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,M,Event,,YES,NO,6:59,7:02,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,M,Event,,YES,NO,7:22,7:23,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,FP,Behavior,,YES,NO,7:26,7:26,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,7:26,7:41,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,FP,Behavior,,YES,YES,7:29,7:29,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,7:55,8:14,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,8:24,8:41,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,9:11,9:20,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,V,Event,,YES,YES,9:15,9:16,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,V,Event,,YES,YES,9:18,9:18,
1,4/9/2019,3,D1_S3_output.mp4,,0:10:17,U,Music,,YES,YES,9:34,9:49,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,BA_E,,,,,0:00,0:54,
,,,,,,VA_B,,,,,0:41,1:12,look!
,,,,,,BA_V,,,,,0:54,1:26,
,,,,,,VA_B,,,,,2:22,2:46,hey guyes! look! a macaw!
,,,,,,BA_E,,,,,2:48,2:55,
,,,,,,VA_B,,,,,3:30,3:45,
,,,,,,BA_V,,,,,3:34,3:49,
,,,,,,VA_B,,,,,4:19,4:39,look at teh bird
,,,,,,BA_E,,,,,4:58,5:17,
,,,,,,VA_B,,,,,5:30,6:17,
,,,,,,BA_V,,,,,5:32,5:35,
,,,,,,BA_E,,,,,5:48,6:11,
,,,,,,BA_V,,,,,6:11,6:22,
,,,,,,BA_E,,,,,7:27,7:45,
,,,,,,BA_E,,,,,8:45,9:03,
,,,,,,BA_V,,,,,9:10,9:28,
,,,,,,VA_B,,,,,9:11,9:25,he is talking I know! 
,,,,,,BA_E,,,,,9:36,10:00,
