N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Time Start Corr,Time End Corr,Exact Date/Time Start,Exact Date/Time End
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:00:11,0:00:17,brought out into enclosure and moves toward branch,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:00:20,0:00:23,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:00:31,0:00:35,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,FP,BEHAVIOR,,NO,NO,0:00:37,0:00:38,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:00:38,0:00:41,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:00:45,0:00:57,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:01:07,0:01:18,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,P,BEHAVIOR,,NO,NO,0:01:35,0:01:39,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,JB_NB,BEHAVIOR,,NO,YES,0:01:43,0:01:57,triggers music,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,YES,0:01:58,0:02:06,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,JB_NB,BEHAVIOR,,NO,YES,0:02:06,0:02:24,seems to have realized that moving the Joy Branch triggers music,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:02:39,0:02:58,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,JB_NB,BEHAVIOR,,NO,YES,0:02:58,0:03:10,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:03:30,0:03:50,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:03:50,0:03:56,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:03:56,0:03:59,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,NB,BEHAVIOR,,NO,NO,0:03:59,0:04:03,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,FP,BEHAVIOR,,NO,NO,0:04:05,0:04:06,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:04:26,0:04:33,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:04:33,0:04:35,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:04:35,0:04:40,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:04:44,0:04:59,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,P,BEHAVIOR,,NO,NO,0:05:00,0:05:04,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:05:24,0:05:27,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,NB,BEHAVIOR,,NO,NO,0:05:27,0:05:33,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:06:04,0:06:23,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:06:23,0:06:28,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:06:28,0:06:51,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:09:43,0:12:21,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:12:21,0:12:27,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:12:50,0:12:54,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:13:15,0:13:24,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:13:24,0:13:28,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,S,BEHAVIOR,,NO,NO,0:13:28,0:13:30,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:13:30,0:13:40,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:13:40,0:13:51,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:14:18,0:14:27,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:14:30,0:14:36,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:14:44,0:15:00,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,NB,BEHAVIOR,,NO,NO,0:15:00,0:15:30,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:15:30,0:15:49,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:16:16,0:16:28,moved out of camera range,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,M,EVENT,,NO,NO,0:17:05,0:17:09,moved back in to camera range,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,JB_NB,BEHAVIOR,,NO,YES,0:17:09,0:17:16,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,YES,0:17:16,0:17:59,,
2,4/10/19,1,D2_SJB_output_good.mov,7:30:00 AM,0:53:20,L,BEHAVIOR,,NO,NO,0:18:03,0:18:35,,
