N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Start,End,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:00:00,0:00:30,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:01:48,0:01:53,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:02:00,0:02:10,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,S,BEHAVIOR,,YES,NO,0:04:00,0:04:52,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,S,BEHAVIOR,,YES,NO,0:05:20,0:06:18,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:06:21,0:06:24,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:06:24,0:06:38,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:06:49,0:07:23,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:07:25,0:07:47,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,NB,BEHAVIOR,,YES,NO,0:07:47,0:08:58,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:08:58,0:09:02,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:09:11,0:09:35,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:09:35,0:09:42,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,M,EVENT,,YES,NO,0:11:32,0:11:36,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:13:05,0:13:09,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,V,EVENT,,YES,NO,0:15:27,0:15:28,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:15:56,0:16:00,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,FP,BEHAVIOR,,YES,NO,0:17:11,0:17:12,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,P,BEHAVIOR,,YES,NO,0:17:15,0:18:06,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:18:15,0:18:29,,,,,,,,,,,,,,,,
0,4/8/19,baseline,D0_output_F.mov,11:58:00,0:42:36,L,BEHAVIOR,,YES,NO,0:21:49,0:22:06,,,,,,,,,,,,,,,,
