,N_Day,Day,Session,File name,Date/Time Start,Duration of Video,Activity,Event/behavior,Focus,Visitors?,Music?,Time Start,Time End,Exact Date/Time Start,Exact Date/Time End,Start,End
0,1,4/9/19,1_JB,D1_S1_output_F.mov,,1:28:00,BA_E,,,,,0:00,0:12,,,00:00:00,00:00:12
1,1,4/9/19,1_JB,D1_S1_output_F.mov,,2:28:00,BA_JB,,,,,0:17,0:33,,,00:00:17,00:00:33
2,1,4/9/19,1_JB,D1_S1_output_F.mov,,3:28:00,BA_E,,,,,0:42,1:30,,,00:00:42,00:01:30
3,1,4/9/19,1_JB,D1_S1_output_F.mov,,4:28:00,BA_E,,,,,1:37,2:05,,,00:01:37,00:02:05
4,1,4/9/19,1_JB,D1_S1_output_F.mov,,5:28:00,BA_JB,,,,,2:05,2:22,,,00:02:05,00:02:22
5,1,4/9/19,1_JB,D1_S1_output_F.mov,,6:28:00,BA_E,,,,,2:26,2:40,,,00:02:26,00:02:40
6,1,4/9/19,1_JB,D1_S1_output_F.mov,,7:28:00,BA_JB,,,,,2:40,2:45,,,00:02:40,00:02:45
7,1,4/9/19,1_JB,D1_S1_output_F.mov,,8:28:00,BA_E,,,,,2:45,3:05,,,00:02:45,00:03:05
8,1,4/9/19,1_JB,D1_S1_output_F.mov,,9:28:00,BA_JB,,,,,4:25,4:39,,,00:04:25,00:04:39
9,1,4/9/19,1_JB,D1_S1_output_F.mov,,10:28:00,BA_E,,,,,4:41,5:25,,,00:04:41,00:05:25
10,1,4/9/19,1_JB,D1_S1_output_F.mov,,11:28:00,BA_JB,,,,,5:26,5:28,,,00:05:26,00:05:28
11,1,4/9/19,1_JB,D1_S1_output_F.mov,,12:28:00,BA_E,,,,,5:28,6:06,,,00:05:28,00:06:06
12,1,4/9/19,1_JB,D1_S1_output_F.mov,,13:28:00,BA_E,,,,,6:10,6:40,,,00:06:10,00:06:40
13,1,4/9/19,1_JB,D1_S1_output_F.mov,,14:28:00,BA_E,,,,,6:48,7:07,,,00:06:48,00:07:07
14,1,4/9/19,1_JB,D1_S1_output_F.mov,,15:28:00,BA_E,,,,,7:15,7:19,,,00:07:15,00:07:19
15,1,4/9/19,1_JB,D1_S1_output_F.mov,,16:28:00,BA_JB,,,,,7:19,7:35,,,00:07:19,00:07:35
16,1,4/9/19,1_JB,D1_S1_output_F.mov,,17:28:00,BA_JB,,,,,7:49,7:59,,,00:07:49,00:07:59
17,1,4/9/19,1_JB,D1_S1_output_F.mov,,18:28:00,BA_E,,,,,8:01,8:09,,,00:08:01,00:08:09
18,1,4/9/19,1_JB,D1_S1_output_F.mov,,19:28:00,BA_JB,,,,,8:36,8:55,,,00:08:36,00:08:55
19,1,4/9/19,1_JB,D1_S1_output_F.mov,,20:28:00,BA_E,,,,,8:55,9:12,,,00:08:55,00:09:12
20,1,4/9/19,1_JB,D1_S1_output_F.mov,,21:28:00,BA_JB,,,,,9:12,9:17,,,00:09:12,00:09:17
21,1,4/9/19,1_JB,D1_S1_output_F.mov,,22:28:00,BA_E,,,,,9:17,10:02,,,00:09:17,00:10:02
22,1,4/9/19,1_JB,D1_S1_output_F.mov,,23:28:00,BA_JB,,,,,11:59,11:12,,,00:11:59,00:11:12
23,1,4/9/19,1_JB,D1_S1_output_F.mov,,0:28:00,BA_E,,,,,13:05,13:28,,,00:13:05,00:13:28
24,1,4/9/19,1_JB,D1_S1_output_F.mov,,1:28:00,BA_JB,,,,,13:29,13:33,,,00:13:29,00:13:33
25,1,4/9/19,1_JB,D1_S1_output_F.mov,,2:28:00,BA_E,,,,,14:30,14:32,,,00:14:30,00:14:32
26,1,4/9/19,1_JB,D1_S1_output_F.mov,,3:28:00,BA_E,,,,,15:10,15:21,,,00:15:10,00:15:21
27,1,4/9/19,1_JB,D1_S1_output_F.mov,,4:28:00,BA_E,,,,,15:38,15:40,,,00:15:38,00:15:40
28,1,4/9/19,1_JB,D1_S1_output_F.mov,,5:28:00,BA_E,,,,,15:58,15:21,,,00:15:58,00:15:21
29,1,4/9/19,1_JB,D1_S1_output_F.mov,,6:28:00,BA_JB,,,,,16:57,17:29,,,00:16:57,00:17:29
30,1,4/9/19,1_JB,D1_S1_output_F.mov,,7:28:00,BA_E,,,,,17:29,18:30,,,00:17:29,00:18:30
31,1,4/9/19,1_JB,D1_S1_output_F.mov,,8:28:00,BA_V,,,,,19:05,19:30,,,00:19:05,00:19:30
32,1,4/9/19,1_JB,D1_S1_output_F.mov,,9:28:00,BA_E,,,,,19:47,20:05,,,00:19:47,00:20:05
33,1,4/9/19,1_JB,D1_S1_output_F.mov,,10:28:00,BA_JB,,,,,20:05,20:19,,,00:20:05,00:20:19
34,1,4/9/19,1_JB,D1_S1_output_F.mov,,11:28:00,BA_V,,,,,20:19,20:28,,,00:20:19,00:20:28
35,1,4/9/19,1_JB,D1_S1_output_F.mov,,12:28:00,BA_JB,,,,,20:28,20:31,,,00:20:28,00:20:31
