Sheet,Day,lenghts,Song,#interaction,Dance/Trigger,if D: #Bobs,if T: nimble/ poke/ hold/ feet,time start,time end,duration,New Start,New End
m,1,0:28:00,Lucky,1,T,,N,0:02:14,0:02:16,0:00:02,1:02:14,1:02:16
m,1,0:28:00,Lucky,1,T,,N,0:02:41,0:02:45,0:00:04,1:02:41,1:02:45
m,1,0:28:00,Lucky,2,T,,N,0:08:40,0:08:51,0:00:11,1:08:40,1:08:51
m,1,0:28:00,Lucky,2,D,9,,0:08:02,0:09:03,0:01:01,1:08:02,1:09:03
m,1,0:28:00,Lucky,2,T,,N,0:09:15,0:09:16,0:00:01,1:09:15,1:09:16
m,1,0:28:00,Lucky,2,D,14,,0:09:18,0:09:38,0:00:20,1:09:18,1:09:38
m,1,0:28:00,Lucky,3,T,,N,0:17:02,0:17:27,0:00:25,1:17:02,1:17:27
m,1,0:28:00,Lucky,4,T,,N,0:22:49,0:22:51,0:00:02,1:22:49,1:22:51
m,1,0:28:00,Lucky,4,D,2,,0:23:16,0:23:18,0:00:02,1:23:16,1:23:18
m,1,0:28:00,Lucky,4,D,21,,0:23:20,0:23:47,0:00:27,1:23:20,1:23:47
m,1,0:28:00,Lucky,4,D,6,,0:24:12,0:24:16,0:00:04,1:24:12,1:24:16
m,1,0:28:00,Lucky,,M,,M,0:02:14,0:02:25,0:00:11,1:02:14,1:02:25
m,1,0:28:00,Lucky,,M,,M,0:02:42,0:02:55,0:00:13,1:02:42,1:02:55
m,1,0:28:00,Lucky,,M,,M,0:08:41,0:09:00,0:00:19,1:08:41,1:09:00
m,1,0:28:00,Lucky,,M,,M,0:09:15,0:09:27,0:00:12,1:09:15,1:09:27
m,1,0:28:00,Lucky,,M,,M,0:17:02,0:17:37,0:00:35,1:17:02,1:17:37
m,1,0:28:00,Lucky,,M,,M,0:22:49,0:22:59,0:00:10,1:22:49,1:22:59
m,1,0:28:00,Lucky,,Timing,,,,,,1:00:00,1:00:00
m,1,0:28:00,Lucky,,Timing,,,,,,1:28:00,1:28:00
m,1,0:28:00,Lucky,,Timing,,,,,,2:00:00,2:00:00
m,2,0:53:20,Camelion,1,T,,N,0:01:42,0:01:56,0:00:14,2:01:42,2:01:56
m,2,0:53:20,Camelion,1,T,,N,0:02:06,0:02:24,0:00:18,2:02:06,2:02:24
